Date,Open,High,Low,Close,Volume,Ticker
2021-08-13,165.02,166.46,164.89,166.39,7466887,GLD
2021-08-16,166.73,167.39,166.59,167.22,7781796,GLD
2021-08-17,167.29,167.73,166.56,166.97,7106992,GLD
2021-08-18,167.24,167.51,166.26,167.1,7697931,GLD
2021-08-19,167.24,167.29,166.16,166.61,6934268,GLD
2021-08-20,166.8,167.14,166.36,166.7,7154348,GLD
2021-08-23,168.82,168.91,167.96,168.73,8190548,GLD
2021-08-24,169.04,169.27,168.52,168.65,4519173,GLD
2021-08-25,167.88,167.92,166.74,167.48,5588751,GLD
2021-08-26,167.21,168.21,166.83,167.67,4371866,GLD
2021-08-27,167.58,170.19,166.87,170.19,10036430,GLD
2021-08-30,169.66,169.835,169.09,169.35,3768628,GLD
2021-08-31,169.23,169.92,168.75,169.69,6336002,GLD
2021-09-01,169.94,170.0,169.16,169.7,4764866,GLD
2021-09-02,169.5,169.63,168.82,169.25,4601128,GLD
2021-09-03,170.59,171.55,170.15,171.06,8353646,GLD
2021-09-07,169.56,169.78,167.63,167.71,10007700,GLD
2021-09-08,168.02,168.08,166.7,167.29,6575990,GLD
2021-09-09,168.17,168.28,166.83,168.03,6641424,GLD
2021-09-10,167.81,168.08,167.145,167.18,7426272,GLD
2021-09-13,167.45,168.22,167.395,167.74,5474323,GLD
2021-09-14,168.22,169.16,167.48,168.82,7922917,GLD
2021-09-15,168.133,168.36,167.45,167.83,5624883,GLD
2021-09-16,164.38,164.44,163.233,164.03,11780400,GLD
2021-09-17,163.86,164.32,163.4,163.77,8369679,GLD
2021-09-20,164.29,165.28,164.07,164.94,7566577,GLD
2021-09-21,165.81,166.63,165.49,166.04,7181458,GLD
2021-09-22,165.89,167.15,165.03,165.42,9777794,GLD
2021-09-23,164.1,164.2,163.27,163.51,8451899,GLD
2021-09-24,163.0,164.0,162.74,163.3,6937521,GLD
2021-09-27,163.85,164.3608,163.51,163.64,4942989,GLD
2021-09-28,162.73,162.82,161.73,162.05,9282755,GLD
2021-09-29,162.35,162.74,160.97,161.32,8360656,GLD
2021-09-30,162.66,164.95,162.34,164.22,10574820,GLD
2021-10-01,164.27,164.96,163.885,164.59,6654686,GLD
2021-10-04,163.69,165.54,163.47,165.36,7651658,GLD
2021-10-05,163.94,164.85,163.49,164.59,5617283,GLD
2021-10-06,164.23,165.06,164.1531,165.03,6067156,GLD
2021-10-07,164.02,164.8507,163.96,164.16,4791505,GLD
2021-10-08,166.32,166.42,164.135,164.23,8536109,GLD
2021-10-11,164.04,164.58,163.91,163.92,3820087,GLD
2021-10-12,164.57,165.44,164.31,164.66,5453049,GLD
2021-10-13,165.28,167.92,165.28,167.59,11118290,GLD
2021-10-14,168.19,168.22,167.71,168.0,5083847,GLD
2021-10-15,165.39,166.09,165.1,165.33,8699223,GLD
2021-10-18,165.42,165.59,164.81,164.92,4029594,GLD
2021-10-19,166.5,166.5,165.2001,165.45,6588473,GLD
2021-10-20,166.21,167.11,165.9258,166.9,5022036,GLD
2021-10-21,166.7,166.94,166.24,166.75,4412389,GLD
2021-10-22,168.67,169.54,166.67,167.77,10703930,GLD
2021-10-25,168.66,169.21,168.53,168.93,4881346,GLD
2021-10-26,167.88,167.91,166.63,167.68,6658890,GLD
2021-10-27,167.73,168.2,166.86,168.12,5823080,GLD
2021-10-28,168.98,169.25,167.53,168.08,7000717,GLD
2021-10-29,166.29,166.73,165.64,166.65,7531872,GLD
2021-11-01,167.38,167.84,166.91,167.52,4975560,GLD
2021-11-02,167.43,167.63,166.963,167.16,3760736,GLD
2021-11-03,165.34,165.95,164.38,165.77,9055208,GLD
2021-11-04,167.51,168.14,167.37,167.65,6656097,GLD
2021-11-05,168.42,169.94,167.85,169.84,9368948,GLD
