Date,AAPL,MSFT,JPM,JNJ,AMZN,XOM,GLD,TLT,SPY
2021-08-13,149.1,292.85,159.98,176.25,164.6985,56.77,166.39,148.55,445.92
2021-08-16,151.12,294.6,158.93,177.84,164.9495,55.94,167.22,148.91,446.97
2021-08-17,150.19,293.08,157.01,179.47,162.098,55.56,166.97,148.85,444.04
2021-08-18,146.36,290.73,155.58,177.19,160.061,54.39,167.1,149.35,439.18
2021-08-19,146.7,296.77,154.28,178.57,159.3875,52.73,166.61,150.45,439.86
2021-08-20,148.19,304.36,154.72,179.44,159.9975,52.74,166.7,150.55,443.36
2021-08-23,149.71,304.65,156.7,177.61,163.2935,54.91,168.73,150.45,447.26
2021-08-24,149.62,302.62,157.67,175.39,165.289,55.36,168.65,149.28,447.97
2021-08-25,148.36,302.01,160.92,174.23,164.959,55.46,167.48,148.04,448.91
2021-08-26,147.54,299.09,161.75,173.3,165.8,54.71,167.67,148.45,446.26
2021-08-27,148.6,299.72,163.05,172.93,167.4815,55.77,170.19,149.46,450.25
2021-08-30,153.12,303.59,160.44,173.66,171.0785,55.16,169.35,149.85,452.23
2021-08-31,151.83,301.88,159.95,173.13,173.5395,54.52,169.69,148.83,451.56
2021-09-01,152.51,301.83,159.72,173.74,173.95,53.77,169.7,148.89,451.8
2021-09-02,153.65,301.15,160.46,174.93,173.156,55.08,169.25,149.54,453.19
2021-09-03,154.3,301.14,159.49,175.04,173.9025,54.87,171.06,148.18,453.08
2021-09-07,156.69,300.18,159.21,172.32,175.4645,54.55,167.71,146.93,451.46
2021-09-08,155.11,300.21,158.5,171.9,176.275,54.05,167.29,147.93,450.91
2021-09-09,154.07,297.25,159.19,168.07,174.208,54.09,168.03,149.72,448.98
2021-09-10,148.97,295.71,157.36,166.97,173.4575,53.98,167.18,148.4,445.44
2021-09-13,149.55,296.99,159.86,165.8,172.8585,55.37,167.74,149.3,446.58
2021-09-14,148.12,299.79,157.07,164.8,172.5,54.58,168.82,151.11,444.17
2021-09-15,149.03,304.82,158.16,165.42,173.7895,56.42,167.83,150.58,447.88
2021-09-16,148.79,305.22,158.09,165.22,174.412,55.82,164.03,149.89,447.17
2021-09-17,146.06,299.87,157.68,164.75,173.126,55.16,163.77,149.17,441.4
2021-09-20,142.94,294.3,152.96,163.81,167.7865,53.69,164.94,151.02,434.04
2021-09-21,143.43,294.8,152.98,164.53,167.1815,53.64,166.04,150.89,433.63
2021-09-22,145.85,298.58,155.91,163.93,169.0025,55.21,165.42,151.79,437.86
2021-09-23,146.83,299.56,161.18,164.86,170.8,57.08,163.51,148.36,443.18
2021-09-24,146.92,299.35,163.04,164.36,171.276,57.59,163.3,146.91,443.91
2021-09-27,145.37,294.17,166.98,163.17,170.2901,59.3,163.64,146.37,442.64
2021-09-28,141.91,283.52,166.08,162.81,165.798,59.92,162.05,144.09,433.72
2021-09-29,142.83,284.0,165.95,164.02,165.056,59.88,161.32,144.34,434.45
2021-09-30,141.5,281.92,163.69,161.5,164.252,58.82,164.22,144.32,429.14
2021-10-01,142.65,289.1,167.13,160.47,164.163,60.93,164.59,145.35,434.24
2021-10-04,139.14,283.11,166.95,159.22,159.489,61.72,165.36,144.98,428.64
2021-10-05,141.11,288.76,168.66,159.58,161.05,61.62,164.59,143.58,433.1
2021-10-06,142.0,293.11,169.02,159.91,163.1005,60.49,165.03,144.39,434.9
2021-10-07,143.29,294.85,170.09,161.34,165.1215,60.66,164.16,142.88,438.66
2021-10-08,142.9,294.85,170.22,160.93,164.431,62.18,164.23,141.88,437.86
2021-10-11,142.81,294.23,166.64,160.25,162.315,61.56,163.92,141.52,434.69
2021-10-12,141.51,292.88,165.36,157.69,162.3665,61.24,164.66,143.94,433.62
2021-10-13,140.91,296.31,161.0,159.2,164.214,61.07,167.59,145.34,435.18
2021-10-14,143.76,302.75,163.47,160.11,164.9931,62.0,168.0,145.88,442.5
2021-10-15,144.84,304.21,166.61,161.3,170.451,62.59,165.33,145.03,445.87
2021-10-18,146.55,307.29,166.55,160.12,172.337,62.56,164.92,145.71,447.19
2021-10-19,148.76,308.23,168.57,163.87,172.2075,63.5,165.45,143.7,450.64
2021-10-20,149.26,307.41,170.84,163.78,170.753,63.85,166.9,142.73,452.41
2021-10-21,149.48,310.76,169.5,163.4,171.7505,62.69,166.75,142.56,453.59
2021-10-22,148.69,309.16,171.78,163.72,166.7775,63.12,167.77,144.13,453.12
2021-10-25,148.64,308.13,170.94,164.08,166.0185,64.35,168.93,143.91,455.55
